feature,coefficient
lateness_hours,0.9295944341114504
parcel_category_clean__standard,-0.4628871591061715
payment_method_clean__prepaid,-0.41608074481933227
actual_delivery_hours,0.3457576153167672
delivery_priority_clean__Standard,-0.3440760526100433
driver_experience_months,-0.3390861332025789
branch_clean__Central,-0.27512951864591645
vehicle_type_clean__van,-0.2630681952621358
vehicle_type_clean__bike,-0.2043670324891883
delivery_priority_clean__Express,-0.15063412601743703
branch_clean__North,-0.14498463875334477
booking_day_name__Friday,-0.13387011619943512
payment_method_clean__cod,-0.13250623836610503
branch_clean__West,-0.12723042286586875
booking_day_name__Monday,-0.10541889545860834
booking_day_name__Tuesday,-0.1036509817143775
booking_day_name__Thursday,-0.09905293537641295
booking_day_name__Wednesday,-0.09748268834291067
vehicle_type_clean__truck,-0.08806599714244975
num_stops_on_route,0.07873171744990196
delivery_priority_clean__Premium,-0.07239573170012052
parcel_category_clean__fragile,-0.04989388889065048
branch_clean__East,-0.048681177591679135
payment_method_clean__missing,-0.04743877467137138
parcel_category_clean__oversized,-0.04695558490386879
vehicle_type_clean__missing,-0.04052453296303487
parcel_category_clean__refrigerated,-0.036289124956117934
parcel_value_sgd,0.031285830500048885
delivery_priority_clean__Vip,-0.028919847529207125
booking_day_name__Sunday,-0.02844241800574846
booking_day_name__Saturday,-0.028107722759315577
distance_km,-0.012669939235287156
parcel_weight_kg,0.010655709217348071
promised_delivery_hours,-0.004859111672203391
pickup_wait_hours,-0.0012763033716461666
